Date,Open,High,Low,Close,Price_Range,Monthly_Change,MA_3,Returns,Cumulative_Returns,Volatility,YearMonth,MA_20,Upper_Band,Lower_Band,Year
2005-10-01,13.2,14.47,12.4,12.99,1.1415269573767972,24286.510010542064,13.236666666666666,-0.023584204545199904,1.0425361155698234,0.052848722959117585,2005-10,18.514,29.53836039438403,7.489639605615972,2005
2005-11-01,13.35,13.88,12.88,13.41,0.7006932072279974,24371.33941329604,13.233333333333334,0.031820866611078975,1.0762439807383628,0.02847517519351107,2005-11,18.514,29.53836039438403,7.489639605615972,2005
2005-12-01,13.49,14.44,13.0,13.71,0.9045207014149024,24421.68263314361,13.37,0.02212479628063598,1.1003210272873196,0.029238099589189843,2005-12,18.514,29.53836039438403,7.489639605615972,2005
2006-01-01,13.68,17.16,13.58,15.33,1.558383881232408,24874.0700252435,14.15,0.11168619930949973,1.2303370786516856,0.05132522891746341,2006-01,18.514,29.53836039438403,7.489639605615972,2006
2006-02-01,15.5,16.97,15.4,16.12,0.9579360300405712,24547.781482253413,15.053333333333333,0.05024904419475963,1.2937399678972716,0.04793393278922105,2006-02,18.514,29.53836039438403,7.489639605615972,2006
2006-03-01,16.2,20.95,16.02,20.08,1.8303577840062542,25588.326010967274,17.176666666666666,0.21966355774504603,1.6115569823434994,0.09407292304336194,2006-03,18.514,29.53836039438403,7.489639605615972,2006
2006-04-01,20.56,20.8,18.02,19.49,1.3576802976977222,24017.35676913658,18.563333333333333,-0.029822781304058976,1.5642054574638846,0.13221164944580577,2006-04,18.514,29.53836039438403,7.489639605615972,2006
2006-05-01,19.8,21.8,15.8,18.03,2.006167174478762,23799.451257276825,19.2,-0.0778644763042434,1.4470304975922956,0.15993751638640533,2006-05,18.514,29.53836039438403,7.489639605615972,2006
2006-06-01,18.2,18.4,13.4,15.62,1.8427651812405987,23548.61614415701,17.71333333333333,-0.14348489280368612,1.2536115569823436,0.05096063018855841,2006-06,18.514,29.53836039438403,7.489639605615972,2006
2006-07-01,16.0,17.2,13.82,16.16,1.511596183949759,24402.797476472948,16.60333333333333,0.03398690868140941,1.2969502407704656,0.0819334704002192,2006-07,18.514,29.53836039438403,7.489639605615972,2006
2006-08-01,15.9,18.6,15.7,17.84,1.3902719817557783,24966.34952950647,16.54,0.09890407405891408,1.431781701444623,0.11528371776634208,2006-08,18.514,29.53836039438403,7.489639605615972,2006
2006-09-01,18.0,18.88,16.8,18.46,1.1448949356383116,24497.300658476976,17.486666666666668,0.034163101922842824,1.4815409309791334,0.03922977895019603,2006-09,18.514,29.53836039438403,7.489639605615972,2006
2006-10-01,18.78,24.2,18.5,22.78,1.9596558280044116,25627.065123543303,19.69333333333333,0.21027672894432997,1.8282504012841094,0.09637307500896035,2006-10,18.514,29.53836039438403,7.489639605615972,2006
2006-11-01,22.8,28.47,21.4,25.32,2.157645656188726,25151.451700972742,22.186666666666667,0.10571163925693938,2.0321027287319424,0.09576948009670093,2006-11,18.514,29.53836039438403,7.489639605615972,2006
2006-12-01,25.4,29.66,24.4,26.97,1.8876534522111748,24848.645464727688,25.02333333333333,0.06313053987566314,2.164526484751204,0.08364616993716568,2006-12,18.514,29.53836039438403,7.489639605615972,2006
2007-01-01,27.4,34.16,27.0,30.16,2.16948466880224,25228.25760238817,27.483333333333334,0.11179140598811683,2.4205457463884437,0.028497898127066303,2007-01,18.514,29.53836039438403,7.489639605615972,2007
2007-02-01,30.2,32.6,26.8,28.63,1.975379958339128,23861.602621779955,28.586666666666662,-0.05206142402973163,2.297752808988765,0.08289351194966045,2007-02,18.514,29.53836039438403,7.489639605615972,2007
