Date,High,Low,Close,Price_Range,Monthly_Change,MA_3,Returns,Volatility,YearMonth,MA_20,Upper_Band,Lower_Band,Year
2005-10-01,14.47,12.4,12.99,1.1415269573767972,24286.510010542064,13.236666666666666,-0.023584204545199904,0.052848722959117585,2005-10,18.514,29.53836039438403,7.489639605615972,2005
2005-11-01,13.88,12.88,13.41,0.7006932072279974,24371.33941329604,13.233333333333334,0.031820866611078975,0.02847517519351107,2005-11,18.514,29.53836039438403,7.489639605615972,2005
2005-12-01,14.44,13.0,13.71,0.9045207014149024,24421.68263314361,13.37,0.02212479628063598,0.029238099589189843,2005-12,18.514,29.53836039438403,7.489639605615972,2005
2006-01-01,17.16,13.58,15.33,1.558383881232408,24874.0700252435,14.15,0.11168619930949973,0.05132522891746341,2006-01,18.514,29.53836039438403,7.489639605615972,2006
2006-02-01,16.97,15.4,16.12,0.9579360300405712,24547.781482253413,15.053333333333333,0.05024904419475963,0.04793393278922105,2006-02,18.514,29.53836039438403,7.489639605615972,2006
2006-03-01,20.95,16.02,20.08,1.8303577840062542,25588.326010967274,17.176666666666666,0.21966355774504603,0.09407292304336194,2006-03,18.514,29.53836039438403,7.489639605615972,2006
2006-04-01,20.8,18.02,19.49,1.3576802976977222,24017.35676913658,18.563333333333333,-0.029822781304058976,0.13221164944580577,2006-04,18.514,29.53836039438403,7.489639605615972,2006
2006-05-01,21.8,15.8,18.03,2.006167174478762,23799.451257276825,19.2,-0.0778644763042434,0.15993751638640533,2006-05,18.514,29.53836039438403,7.489639605615972,2006
2006-06-01,18.4,13.4,15.62,1.8427651812405987,23548.61614415701,17.71333333333333,-0.14348489280368612,0.05096063018855841,2006-06,18.514,29.53836039438403,7.489639605615972,2006
2006-07-01,17.2,13.82,16.16,1.511596183949759,24402.797476472948,16.60333333333333,0.03398690868140941,0.0819334704002192,2006-07,18.514,29.53836039438403,7.489639605615972,2006
2006-08-01,18.6,15.7,17.84,1.3902719817557783,24966.34952950647,16.54,0.09890407405891408,0.11528371776634208,2006-08,18.514,29.53836039438403,7.489639605615972,2006
2006-09-01,18.88,16.8,18.46,1.1448949356383116,24497.300658476976,17.486666666666668,0.034163101922842824,0.03922977895019603,2006-09,18.514,29.53836039438403,7.489639605615972,2006
2006-10-01,24.2,18.5,22.78,1.9596558280044116,25627.065123543303,19.69333333333333,0.21027672894432997,0.09637307500896035,2006-10,18.514,29.53836039438403,7.489639605615972,2006
2006-11-01,28.47,21.4,25.32,2.157645656188726,25151.451700972742,22.186666666666667,0.10571163925693938,0.09576948009670093,2006-11,18.514,29.53836039438403,7.489639605615972,2006
2006-12-01,29.66,24.4,26.97,1.8876534522111748,24848.645464727688,25.02333333333333,0.06313053987566314,0.08364616993716568,2006-12,18.514,29.53836039438403,7.489639605615972,2006
2007-01-01,34.16,27.0,30.16,2.16948466880224,25228.25760238817,27.483333333333334,0.11179140598811683,0.028497898127066303,2007-01,18.514,29.53836039438403,7.489639605615972,2007
2007-02-01,32.6,26.8,28.63,1.975379958339128,23861.602621779955,28.586666666666662,-0.05206142402973163,0.08289351194966045,2007-02,18.514,29.53836039438403,7.489639605615972,2007
2007-03-01,31.58,23.31,28.14,2.305924086221692,23989.281403051133,28.976666666666663,-0.017263067423780597,0.08568823085030194,2007-03,19.298000000000002,30.73215308809994,7.863846911900065,2007
2007-04-01,31.99,26.2,30.31,1.9738176619123762,25404.739124944674,29.026666666666667,0.07428563938346883,0.06416997733405445,2007-04,20.142500000000002,32.22523213265418,8.059767867345826,2007
2007-05-01,36.14,29.11,33.51,2.1523427579481376,25257.0918014844,30.653333333333332,0.10036621067950723,0.06223842320583218,2007-05,21.153,34.170494463423566,8.135505536576433,2007
2007-06-01,36.38,30.4,35.98,2.003127065616699,25014.1513437508,33.26666666666666,0.07111932677316808,0.017346792540868607,2007-06,22.3025,36.30768982753405,8.29731017246595,2007
2007-07-01,41.04,35.02,37.93,2.0091988798186504,24969.53481018034,35.806666666666665,0.05277912717842055,0.025605195093835402,2007-07,23.5285,38.51460623210713,8.542393767892875,2007
2007-08-01,39.0,30.2,36.99,2.3655730824008687,24192.438869801405,36.96666666666667,-0.025094749856444932,0.0508377730007771,2007-08,24.6925,40.078633025347344,9.306366974652653,2007
